No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Theme System,Use extendTheme() for customization,Chakra theme extension is the primary way to customize the design system,Define all colors fonts spacing in extendTheme(),Hardcode values in components or inline styles,"const theme = extendTheme({ colors: { brand: { 500: '#2B59C3' } } })","<Box color='#2B59C3'>",High,https://chakra-ui.com/docs/styled-system/customize-theme
2,Theme System,Define semantic color tokens,Use semantic names mapped to color scales in theme config,Create named color scales (brand success warning) in theme,Use raw hex values throughout components,"colors: { brand: { 50: '#E6F0FF', 500: '#2B59C3', 900: '#161F28' } }","bg='#2B59C3' everywhere",High,https://chakra-ui.com/docs/styled-system/theme#colors
3,Theme System,Configure fonts in theme,Set heading and body font families via theme config,fonts: { heading: 'Poppins' body: 'Inter' } in extendTheme,Import fonts only in CSS without theme config,"fonts: { heading: `'Poppins', sans-serif`, body: `'Inter', sans-serif` }","fontFamily='Poppins' on each component",Medium,https://chakra-ui.com/docs/styled-system/theme#typography
4,Theme System,Set default component props,Use defaultProps in component theme to reduce repetition,Define size variant colorScheme defaults in theme components,Pass same props to every component instance,"Button: { defaultProps: { colorScheme: 'brand', size: 'md' } }","<Button colorScheme='brand' size='md'> on every button",Medium,https://chakra-ui.com/docs/styled-system/component-style
5,Theme System,Override component styles in theme,Use baseStyle variants sizes in component theme config,Centralize component styles in extendTheme({ components: {} }),Scatter style overrides across many component files,"components: { Button: { baseStyle: { fontWeight: 700 } } }","<Button fontWeight={700}> repeated everywhere",High,https://chakra-ui.com/docs/styled-system/component-style
6,Theme System,Use spacing tokens from theme,Apply spacing via theme token numbers (4 = 16px),Use numeric spacing props like p={4} m={6} gap={8},Use arbitrary pixel values in style props,<Box p={4} mb={6}>,<Box p='15px' mb='23px'>,Medium,https://chakra-ui.com/docs/styled-system/theme#spacing
7,Theme System,Configure breakpoints in theme,Define responsive breakpoints in theme config,Set breakpoints matching your design system,Use hardcoded media queries in components,"breakpoints: { sm: '480px', md: '768px', lg: '992px', xl: '1280px' }","@media (min-width: 768px) in sx prop",Medium,https://chakra-ui.com/docs/styled-system/theme#breakpoints
8,Theme System,Wrap app in ChakraProvider,ChakraProvider must be at root with your theme,Single ChakraProvider at app root with custom theme,Multiple ChakraProviders or missing provider,"<ChakraProvider theme={theme}><App /></ChakraProvider>","<App /> without provider",High,https://chakra-ui.com/docs/getting-started
9,Component Props,Use colorScheme for semantic colors,colorScheme controls the color palette used by the component,<Button colorScheme='green'> for branded components,Manually setting bg and color on each state,"<Button colorScheme='brand'>CTA</Button>","<Button bg='#2CC84D' color='white' _hover={{ bg: '#25B043' }}>",Medium,https://chakra-ui.com/docs/components/button
10,Component Props,Use size prop for consistent sizing,Components accept size prop (xs sm md lg) for predefined dimensions,Use size='lg' for larger components,Set custom padding and fontSize on each instance,<Button size='lg'>Submit</Button>,"<Button px={6} py={3} fontSize='md'>Submit</Button>",Medium,https://chakra-ui.com/docs/components/button#button-sizes
11,Component Props,Use variant prop for style variants,Components support variant prop (solid outline ghost subtle),Use variant='outline' for secondary actions,Recreate variant styles with manual props,<Button variant='outline'>Cancel</Button>,"<Button bg='transparent' border='1px' borderColor='brand.500'>",Medium,https://chakra-ui.com/docs/components/button#button-variants
12,Component Props,Use isDisabled and isLoading,Chakra provides boolean props for disabled and loading states,<Button isLoading> shows spinner automatically,Manually managing disabled state and spinner display,<Button isLoading isDisabled={submitting}>Save</Button>,"<Button disabled opacity={0.5}>{loading ? <Spinner/> : 'Save'}</Button>",High,https://chakra-ui.com/docs/components/button#button-loading-state
13,Component Props,Use leftIcon and rightIcon,Button supports icon props for consistent icon placement,<Button leftIcon={<Icon />}> for icon+text buttons,Wrapping icons and text in custom flex containers,<Button leftIcon={<AddIcon />}>Add Item</Button>,"<Button><Flex align='center'><AddIcon mr={2}/>Add</Flex></Button>",Low,https://chakra-ui.com/docs/components/button
14,Component Props,Use as prop for polymorphism,as prop changes the rendered HTML element,<Button as='a' href='/link'> for link-styled buttons,Creating wrapper components just to change element type,"<Box as='section' p={4}>",<div><section style={{padding:16}}>,Low,https://chakra-ui.com/docs/styled-system/style-props#the-as-prop
15,Component Props,Use sx prop for one-off styles,sx prop accepts theme-aware style objects for edge cases,sx for one-off styles that don't warrant theme extension,sx for styles that should be in the theme,<Box sx={{ '&::before': { content: '""' } }}>,sx={{ bg: 'brand.500' }} on every card,Low,https://chakra-ui.com/docs/styled-system/the-sx-prop
16,Component Props,Prefer style props over sx,Direct style props (bg p m) are more readable than sx,<Box bg='brand.500' p={4}> for common styles,Putting everything in sx when style props exist,<Box bg='white' borderRadius='lg' p={6}>,<Box sx={{ bg: 'white' borderRadius: 'lg' p: 6 }}>,Medium,
17,Layout,Use Box as base layout primitive,Box renders a div with style props,Use Box for containers wrappers and generic layout,Use raw div elements with className or inline styles,<Box p={4} bg='white' borderRadius='md' />,<div style={{ padding: 16 backgroundColor: 'white' }}>,Medium,https://chakra-ui.com/docs/components/box
18,Layout,Use Flex for flex layouts,Flex is Box with display flex,<Flex align='center' justify='between'> for flex containers,Manual display='flex' on Box when Flex exists,<Flex align='center' gap={4}>,<Box display='flex' alignItems='center'>,Low,https://chakra-ui.com/docs/components/flex
19,Layout,Use Stack for vertical/horizontal lists,Stack VStack HStack add consistent spacing between children,<VStack spacing={4}> for vertical lists,Manual margin on each child element,"<VStack spacing={4}><Box /><Box /><Box /></VStack>","<Box><Box mb={4}/><Box mb={4}/><Box/></Box>",Medium,https://chakra-ui.com/docs/components/stack
20,Layout,Use SimpleGrid for grid layouts,SimpleGrid provides responsive column layouts,<SimpleGrid columns={[1 2 3]}> for responsive grids,Complex CSS Grid when SimpleGrid suffices,<SimpleGrid columns={{ base: 1 md: 2 lg: 3 }} spacing={6}>,<Grid templateColumns='repeat(3 1fr)' with media queries>,Medium,https://chakra-ui.com/docs/components/simple-grid
21,Layout,Use Container for max-width content,Container centers content with configurable maxW,<Container maxW='container.xl'> for page content,Repeated maxWidth and mx='auto' on custom Box,<Container maxW='1280px' px={{ base: 6 lg: 20 }}>,<Box maxW='1280px' mx='auto' px={6}>,Low,https://chakra-ui.com/docs/components/container
22,Layout,Use responsive array syntax,Chakra supports [mobile tablet desktop] shorthand for responsive props,"<Box p={[4, 6, 8]}> for mobile/tablet/desktop padding",Separate components for different breakpoints,"<Text fontSize={['md', 'lg', 'xl']}>","<Text className='text-md md:text-lg xl:text-xl'>",Medium,https://chakra-ui.com/docs/styled-system/responsive-styles
23,Layout,Use responsive object syntax for named breakpoints,Object syntax { base md lg } is more readable for complex responsive,<Box p={{ base: 4 md: 6 lg: 8 }}> for named breakpoints,Inconsistent mixing of array and object responsive syntax,<Grid templateColumns={{ base: '1fr' md: 'repeat(2 1fr)' }}>,Different Grid components per breakpoint,Medium,https://chakra-ui.com/docs/styled-system/responsive-styles
24,Layout,Use AspectRatio for media containers,AspectRatio maintains consistent width-to-height ratios,<AspectRatio ratio={16/9}> for video and image containers,Manual padding-bottom hack for aspect ratios,<AspectRatio ratio={16/9}><Image /></AspectRatio>,<Box position='relative' pb='56.25%'>,Low,https://chakra-ui.com/docs/components/aspect-ratio
25,Typography,Use Heading component for headings,Heading renders h2 by default with theme-aware sizing,<Heading as='h1' size='2xl'> for page titles,Raw h1-h6 tags without Chakra styling,<Heading as='h1' size='2xl'>Page Title</Heading>,<h1 style={{ fontSize: 32 }}>Page Title</h1>,Medium,https://chakra-ui.com/docs/components/heading
26,Typography,Use Text component for body text,Text renders p with theme-aware typography props,<Text fontSize='md' color='text.secondary'>,Raw p or span with inline styles,<Text color='gray.600' fontSize='sm'>Helper text</Text>,<p style={{ color: '#64769B' fontSize: 14 }}>Helper</p>,Medium,https://chakra-ui.com/docs/components/text
27,Typography,Use fontWeight token names,Chakra maps named weights to numeric values,fontWeight='bold' or fontWeight='semibold',Raw numeric weights when named tokens exist,<Text fontWeight='semibold'>,<Text fontWeight={600}>,Low,https://chakra-ui.com/docs/styled-system/theme#typography
28,Typography,Use responsive font sizes,Font size can accept responsive array or object,<Heading fontSize={{ base: '2xl' md: '4xl' }}>,Single fixed font size across all screens,<Heading fontSize={{ base: '2xl' lg: '4xl' }}>,<Heading fontSize='4xl'> on all screens,Medium,
29,Typography,Set line height with lineHeight prop,Use named lineHeight tokens for consistency,lineHeight='tall' or lineHeight='base',Arbitrary line-height pixel values,<Text lineHeight='tall'>Long paragraph</Text>,<Text lineHeight='24px'>,Low,
30,Colors,Use useColorMode for dark mode toggle,useColorMode hook provides colorMode and toggleColorMode,const { colorMode toggleColorMode } = useColorMode(),Manual class toggling or separate theme objects,"const { colorMode, toggleColorMode } = useColorMode()","document.body.classList.toggle('dark')",High,https://chakra-ui.com/docs/styled-system/color-mode
